InChI,SMILES,Count
ABECZPZKCSZWKE-ZDUSSCGKSA-N,O=C1CC[C@]2(CCN1)NC(=O)c1ccccc1O2,10
ABEHOLUCQFKFQN-CAVOSLQRSA-N,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@@]2(CCN3)[C@@H](C1)O5,4
ABEHOLUCQFKFQN-CAVOSLQRSA-O,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@@H](C1)O5,2
ABEHOLUCQFKFQN-CQJJVWNLSA-N,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,32
ABEHOLUCQFKFQN-CQJJVWNLSA-O,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@H](C1)O5,14
ABEHOLUCQFKFQN-DMEJVMROSA-N,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@]2(CCN3)[C@@H](C1)O5,6
ABEHOLUCQFKFQN-DSPQJCBJSA-N,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@]2(CCN3)[C@H](C1)O5,2
ABEHOLUCQFKFQN-DSPQJCBJSA-O,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@]2(CC[NH2+]3)[C@H](C1)O5,4
ABEHOLUCQFKFQN-DUPGQFARSA-N,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@]2(CCN3)[C@H](C1)O5,6
ABEHOLUCQFKFQN-DUPGQFARSA-O,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@]2(CC[NH2+]3)[C@H](C1)O5,4
ABEHOLUCQFKFQN-FAXLKDOZSA-N,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@@]2(CCN3)[C@@H](C1)O5,4
ABEHOLUCQFKFQN-FAXLKDOZSA-O,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@@H](C1)O5,2
ABEHOLUCQFKFQN-FIRUKDTASA-N,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@]2(CCN3)[C@@H](C1)O5,8
ABEHOLUCQFKFQN-FIRUKDTASA-O,C1=C[C@@H]2[C@@H]3Cc4cccc5c4[C@]2(CC[NH2+]3)[C@@H](C1)O5,4
ABEHOLUCQFKFQN-GMZLATJGSA-N,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@]2(CCN3)[C@@H](C1)O5,8
ABEHOLUCQFKFQN-GMZLATJGSA-O,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@]2(CC[NH2+]3)[C@@H](C1)O5,2
ABEHOLUCQFKFQN-HLSYRSCKSA-N,C1=C[C@@H]2[C@H]3Cc4cccc5c4[C@]2(CCN3)[C@H](C1)O5,4
ABEHOLUCQFKFQN-KLZCAUPSSA-N,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@@H](C1)O5,16
ABEHOLUCQFKFQN-KLZCAUPSSA-O,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@@H](C1)O5,8
ABEHOLUCQFKFQN-LMRQPLJMSA-N,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,4
ABEHOLUCQFKFQN-LMRQPLJMSA-O,C1=C[C@H]2[C@@H]3Cc4cccc5c4[C@@]2(CC[NH2+]3)[C@H](C1)O5,2
